HFO_idx,chanIdx,startTime,stopTime,isValid
1,1,306.696044921875,306.718994140625,0
2,2,50.77490234375,50.81689453125,0
3,2,91.2646484375,91.288330078125,0
4,2,305.61962890625,305.65673828125,0
5,2,410.47314453125,410.503173828125,0
6,2,418.78076171875,418.829833984375,0
7,2,435.456787109375,435.4833984375,0
8,2,449.35498046875,449.382080078125,0
9,2,476.994140625,477.029541015625,0
10,3,16.236083984375,16.260986328125,0
11,3,246.2060546875,246.247314453125,0
12,3,259.701171875,259.723388671875,0
13,3,267.589111328125,267.61083984375,0
14,3,346.08984375,346.106689453125,0
15,3,410.47802734375,410.505615234375,0
16,3,418.78564453125,418.810546875,0
17,3,449.35546875,449.380615234375,0
18,3,476.988525390625,477.011474609375,0
19,4,49.084716796875,49.1083984375,0
20,4,50.763671875,50.7978515625,0
21,4,246.213623046875,246.235595703125,0
22,5,50.77294921875,50.802490234375,0
23,5,130.025146484375,130.04931640625,0
24,5,393.140625,393.160400390625,0
25,5,449.355712890625,449.372802734375,0
26,11,18.598388671875,18.62939453125,1
27,11,25.323486328125,25.359375,0
28,11,28.7265625,28.7509765625,0
29,11,41.823974609375,41.846435546875,0
30,11,44.520751953125,44.55029296875,0
31,11,58.21044921875,58.244873046875,0
32,11,81.650146484375,81.673583984375,0
33,11,91.27392578125,91.31103515625,0
34,11,110.789306640625,110.81201171875,0
35,11,112.247314453125,112.271484375,0
36,11,117.83544921875,117.8505859375,0
37,11,121.523681640625,121.54541015625,0
38,11,129.927734375,129.96240234375,0
39,11,134.288330078125,134.3173828125,0
40,11,157.242431640625,157.26416015625,0
41,11,167.177001953125,167.196533203125,0
42,11,167.702880859375,167.783935546875,0
43,11,173.165771484375,173.2080078125,0
44,11,199.854736328125,199.8857421875,0
45,11,208.514404296875,208.550537109375,0
46,11,211.3564453125,211.386962890625,0
47,11,254.706298828125,254.736328125,0
48,11,261.3232421875,261.34814453125,0
49,11,267.5869140625,267.623046875,0
50,11,276.3984375,276.416015625,0
51,11,306.1142578125,306.168701171875,0
52,11,320.872802734375,320.907958984375,0
53,11,340.036376953125,340.061279296875,0
54,11,351.974609375,351.998046875,0
55,11,354.63720703125,354.655517578125,0
56,11,358.37939453125,358.408447265625,0
57,11,376.05810546875,376.075927734375,0
58,11,381.0947265625,381.12890625,0
59,11,387.0126953125,387.04833984375,0
60,11,418.29345703125,418.33447265625,0
61,11,457.123046875,457.1513671875,0
62,11,465.071044921875,465.106201171875,0
63,11,472.889404296875,472.919189453125,0
64,11,478.6552734375,478.677001953125,0
65,11,479.187255859375,479.211669921875,0
66,11,499.7373046875,499.759765625,0
67,11,520.029541015625,520.052001953125,0
68,11,523.5009765625,523.525390625,0
69,11,547.648681640625,547.66845703125,0
70,11,599.490234375,599.52490234375,0
71,12,41.814208984375,41.83203125,0
72,12,129.92626953125,129.950927734375,0
73,12,136.780517578125,136.798095703125,0
74,12,204.394287109375,204.414794921875,0
75,12,245.187255859375,245.2109375,0
76,12,304.33349609375,304.3583984375,0
77,12,332.076904296875,332.08837890625,0
78,12,346.084716796875,346.098876953125,0
79,12,424.859619140625,424.8779296875,0
80,12,435.464111328125,435.48583984375,0
81,12,476.351318359375,476.373291015625,0
82,12,481.414306640625,481.427490234375,0
83,12,593.861083984375,593.88427734375,0
84,13,173.167724609375,173.189453125,0
85,13,267.583251953125,267.61083984375,0
86,13,306.703125,306.731201171875,0
